Season,Region,Rank,Race,Count,Percentage
30,US,Diamond,Zerg,8536,33.87839339577711
30,US,Gold,Protoss,1146,30.83131557707829
30,US,Gold,Random,355,9.550712940543448
30,US,Gold,Terran,1435,38.60640301318267
30,US,Gold,Zerg,781,21.011568469195588
30,US,Grandmaster,Protoss,578,23.119999999999997
30,US,Grandmaster,Random,120,4.8
30,US,Grandmaster,Terran,920,36.8
30,US,Grandmaster,Zerg,882,35.28
30,US,Master,Protoss,948,20.26940346375882
30,US,Master,Random,367,7.846910412657687
30,US,Master,Terran,1628,34.808638015822105
30,US,Master,Zerg,1734,37.07504810776139
30,US,Platinum,Protoss,2950,31.42978904751758
30,US,Platinum,Random,993,10.579586618367781
30,US,Platinum,Terran,3233,34.444917962923505
30,US,Platinum,Zerg,2210,23.545706371191137
30,US,Silver,Protoss,260,27.368421052631582
30,US,Silver,Random,78,8.210526315789474
30,US,Silver,Terran,416,43.78947368421053
30,US,Silver,Zerg,196,20.63157894736842
31,CN,Bronze,Protoss,8,32.0
31,CN,Bronze,Random,4,16.0
31,CN,Bronze,Terran,8,32.0
31,CN,Bronze,Zerg,5,20.0
31,CN,Diamond,Protoss,4366,22.942722017866526
31,CN,Diamond,Random,1708,8.975302154492907
31,CN,Diamond,Terran,6738,35.40725170782974
31,CN,Diamond,Zerg,6218,32.674724119810826
31,CN,Gold,Protoss,1277,36.88619295205084
31,CN,Gold,Random,257,7.4234546504910455
31,CN,Gold,Terran,1230,35.52859618717504
31,CN,Gold,Zerg,698,20.161756210283073
31,CN,Grandmaster,Protoss,294,25.72178477690289
31,CN,Grandmaster,Random,65,5.68678915135608
31,CN,Grandmaster,Terran,424,37.09536307961505
31,CN,Grandmaster,Zerg,360,31.496062992125985
31,CN,Master,Protoss,593,21.930473372781066
31,CN,Master,Random,214,7.914201183431953
31,CN,Master,Terran,1039,38.42455621301775
31,CN,Master,Zerg,858,31.73076923076923
31,CN,Platinum,Protoss,2899,33.27594123048668
31,CN,Platinum,Random,682,7.828282828282829
31,CN,Platinum,Terran,3101,35.59458218549128
31,CN,Platinum,Zerg,2030,23.30119375573921
31,CN,Silver,Protoss,246,36.607142857142854
31,CN,Silver,Random,56,8.333333333333332
31,CN,Silver,Terran,241,35.86309523809524
31,CN,Silver,Zerg,129,19.196428571428573
31,EU,Bronze,Protoss,16,25.396825396825395
31,EU,Bronze,Random,5,7.936507936507936
31,EU,Bronze,Terran,25,39.682539682539684
31,EU,Bronze,Zerg,17,26.984126984126984
31,EU,Diamond,Protoss,7886,25.313773954354318
31,EU,Diamond,Random,3110,9.982987192244726
31,EU,Diamond,Terran,9282,29.79488331781851
31,EU,Diamond,Zerg,10875,34.908355535582444
31,EU,Gold,Protoss,1994,34.552070698319184
31,EU,Gold,Random,440,7.624328539247964
31,EU,Gold,Terran,2186,37.87905042453647
31,EU,Gold,Zerg,1151,19.944550337896377
31,EU,Grandmaster,Protoss,659,23.294450335807706
31,EU,Grandmaster,Random,134,4.736656062212797
31,EU,Grandmaster,Terran,1009,35.66631318487098
31,EU,Grandmaster,Zerg,1027,36.30258041710852
31,EU,Master,Protoss,1099,21.473231731144978
